filename,contract,abi,bytecode
4726.sol,4726.sol:TokenSale,"[{""inputs"": [], ""stateMutability"": ""nonpayable"", ""type"": ""constructor""}, {""inputs"": [{""internalType"": ""address"", ""name"": ""owner"", ""type"": ""address""}], ""name"": ""OwnableInvalidOwner"", ""type"": ""error""}, {""inputs"": [{""internalType"": ""address"", ""name"": ""account"", ""type"": ""address""}], ""name"": ""OwnableUnauthorizedAccount"", ""type"": ""error""}, {""anonymous"": false, ""inputs"": [{""indexed"": true, ""internalType"": ""address"", ""name"": ""previousOwner"", ""type"": ""address""}, {""indexed"": true, ""internalType"": ""address"", ""name"": ""newOwner"", ""type"": ""address""}], ""name"": ""OwnershipTransferred"", ""type"": ""event""}, {""inputs"": [], ""name"": ""finalizeSale"", ""outputs"": [], ""stateMutability"": ""nonpayable"", ""type"": ""function""}, {""inputs"": [], ""name"": ""owner"", ""outputs"": [{""internalType"": ""address"", ""name"": """", ""type"": ""address""}], ""stateMutability"": ""view"", ""type"": ""function""}, {""inputs"": [], ""name"": ""renounceOwnership"", ""outputs"": [], ""stateMutability"": ""nonpayable"", ""type"": ""function""}, {""inputs"": [{""internalType"": ""address"", ""name"": ""newOwner"", ""type"": ""address""}], ""name"": ""transferOwnership"", ""outputs"": [], ""stateMutability"": ""nonpayable"", ""type"": ""function""}]",608060405234801561000f575f5ffd5b50335f73ffffffffffffffffffffffffffffffffffffffff168173ffffffffffffffffffffffffffffffffffffffff1603610081575f6040517f1e4fbdf700000000000000000000000000000000000000000000000000000000815260040161007891906101b6565b60405180910390fd5b610090816100b660201b60201c565b50600180819055505f60025f6101000a81548160ff0219169083151502179055506101cf565b5f5f5f9054906101000a900473ffffffffffffffffffffffffffffffffffffffff169050815f5f6101000a81548173ffffffffffffffffffffffffffffffffffffffff021916908373ffffffffffffffffffffffffffffffffffffffff1602179055508173ffffffffffffffffffffffffffffffffffffffff168173ffffffffffffffffffffffffffffffffffffffff167f8be0079c531659141344cd1fd0a4f28419497f9722a3daafe3b4186f6b6457e060405160405180910390a35050565b5f73ffffffffffffffffffffffffffffffffffffffff82169050919050565b5f6101a082610177565b9050919050565b6101b081610196565b82525050565b5f6020820190506101c95f8301846101a7565b92915050565b61055d806101dc5f395ff3fe608060405234801561000f575f5ffd5b506004361061004a575f3560e01c806358a687ec1461004e578063715018a6146100585780638da5cb5b14610062578063f2fde38b14610080575b5f5ffd5b61005661009c565b005b610060610163565b005b61006a610176565b60405161007791906103af565b60405180910390f35b61009a600480360381019061009591906103f6565b61019d565b005b6100a4610221565b6002600154036100e9576040517f08c379a00000000000000000000000000000000000000000000000000000000081526004016100e09061047b565b60405180910390fd5b600260018190555060025f9054906101000a900460ff1615610140576040517f08c379a000000000000000000000000000000000000000000000000000000000815260040161013790610509565b60405180910390fd5b600160025f6101000a81548160ff02191690831515021790555060018081905550565b61016b610221565b6101745f6102a8565b565b5f5f5f9054906101000a900473ffffffffffffffffffffffffffffffffffffffff16905090565b6101a5610221565b5f73ffffffffffffffffffffffffffffffffffffffff168173ffffffffffffffffffffffffffffffffffffffff1603610215575f6040517f1e4fbdf700000000000000000000000000000000000000000000000000000000815260040161020c91906103af565b60405180910390fd5b61021e816102a8565b50565b610229610369565b73ffffffffffffffffffffffffffffffffffffffff16610247610176565b73ffffffffffffffffffffffffffffffffffffffff16146102a65761026a610369565b6040517f118cdaa700000000000000000000000000000000000000000000000000000000815260040161029d91906103af565b60405180910390fd5b565b5f5f5f9054906101000a900473ffffffffffffffffffffffffffffffffffffffff169050815f5f6101000a81548173ffffffffffffffffffffffffffffffffffffffff021916908373ffffffffffffffffffffffffffffffffffffffff1602179055508173ffffffffffffffffffffffffffffffffffffffff168173ffffffffffffffffffffffffffffffffffffffff167f8be0079c531659141344cd1fd0a4f28419497f9722a3daafe3b4186f6b6457e060405160405180910390a35050565b5f33905090565b5f73ffffffffffffffffffffffffffffffffffffffff82169050919050565b5f61039982610370565b9050919050565b6103a98161038f565b82525050565b5f6020820190506103c25f8301846103a0565b92915050565b5f5ffd5b6103d58161038f565b81146103df575f5ffd5b50565b5f813590506103f0816103cc565b92915050565b5f6020828403121561040b5761040a6103c8565b5b5f610418848285016103e2565b91505092915050565b5f82825260208201905092915050565b7f5265656e7472616e637947756172643a207265656e7472616e742063616c6c005f82015250565b5f610465601f83610421565b915061047082610431565b602082019050919050565b5f6020820190508181035f83015261049281610459565b9050919050565b7f546f6b656e53616c653a2073616c6520616c72656164792066696e616c697a655f8201527f6400000000000000000000000000000000000000000000000000000000000000602082015250565b5f6104f3602183610421565b91506104fe82610499565b604082019050919050565b5f6020820190508181035f830152610520816104e7565b905091905056fea264697066735822122023889f15b5a7576831bc836bb4432aa97e9ca239ceaf83e7333ac7401cd4462864736f6c634300081e0033
4726.sol,node_modules/@openzeppelin/contracts/access/Ownable.sol:Ownable,"[{""inputs"": [{""internalType"": ""address"", ""name"": ""owner"", ""type"": ""address""}], ""name"": ""OwnableInvalidOwner"", ""type"": ""error""}, {""inputs"": [{""internalType"": ""address"", ""name"": ""account"", ""type"": ""address""}], ""name"": ""OwnableUnauthorizedAccount"", ""type"": ""error""}, {""anonymous"": false, ""inputs"": [{""indexed"": true, ""internalType"": ""address"", ""name"": ""previousOwner"", ""type"": ""address""}, {""indexed"": true, ""internalType"": ""address"", ""name"": ""newOwner"", ""type"": ""address""}], ""name"": ""OwnershipTransferred"", ""type"": ""event""}, {""inputs"": [], ""name"": ""owner"", ""outputs"": [{""internalType"": ""address"", ""name"": """", ""type"": ""address""}], ""stateMutability"": ""view"", ""type"": ""function""}, {""inputs"": [], ""name"": ""renounceOwnership"", ""outputs"": [], ""stateMutability"": ""nonpayable"", ""type"": ""function""}, {""inputs"": [{""internalType"": ""address"", ""name"": ""newOwner"", ""type"": ""address""}], ""name"": ""transferOwnership"", ""outputs"": [], ""stateMutability"": ""nonpayable"", ""type"": ""function""}]",
4726.sol,node_modules/@openzeppelin/contracts/security/ReentrancyGuard.sol:ReentrancyGuard,[],
4726.sol,node_modules/@openzeppelin/contracts/utils/Context.sol:Context,[],
4726.sol,openzeppelin/SafeMath.sol:SafeMath,[],6055604b600b8282823980515f1a607314603f577f4e487b71000000000000000000000000000000000000000000000000000000005f525f60045260245ffd5b305f52607381538281f3fe730000000000000000000000000000000000000000301460806040525f5ffdfea26469706673582212200ff358ae59ec58298d58fe689d558baadad96ce06237a937c6a44ca279e6a33c64736f6c634300081e0033
1663.sol,1663.sol:HavvenContract,"[{""inputs"": [], ""stateMutability"": ""nonpayable"", ""type"": ""constructor""}, {""inputs"": [{""internalType"": ""address"", ""name"": ""owner"", ""type"": ""address""}], ""name"": ""OwnableInvalidOwner"", ""type"": ""error""}, {""inputs"": [{""internalType"": ""address"", ""name"": ""account"", ""type"": ""address""}], ""name"": ""OwnableUnauthorizedAccount"", ""type"": ""error""}, {""anonymous"": false, ""inputs"": [{""indexed"": true, ""internalType"": ""address"", ""name"": ""previousOwner"", ""type"": ""address""}, {""indexed"": true, ""internalType"": ""address"", ""name"": ""newOwner"", ""type"": ""address""}], ""name"": ""OwnershipTransferred"", ""type"": ""event""}, {""inputs"": [], ""name"": ""getHavvenPrice"", ""outputs"": [{""internalType"": ""uint256"", ""name"": """", ""type"": ""uint256""}], ""stateMutability"": ""view"", ""type"": ""function""}, {""inputs"": [], ""name"": ""owner"", ""outputs"": [{""internalType"": ""address"", ""name"": """", ""type"": ""address""}], ""stateMutability"": ""view"", ""type"": ""function""}, {""inputs"": [], ""name"": ""renounceOwnership"", ""outputs"": [], ""stateMutability"": ""nonpayable"", ""type"": ""function""}, {""inputs"": [{""internalType"": ""address"", ""name"": ""newOwner"", ""type"": ""address""}], ""name"": ""transferOwnership"", ""outputs"": [], ""stateMutability"": ""nonpayable"", ""type"": ""function""}, {""inputs"": [{""internalType"": ""uint256"", ""name"": ""newPrice"", ""type"": ""uint256""}], ""name"": ""updateHavvenPrice"", ""outputs"": [], ""stateMutability"": ""nonpayable"", ""type"": ""function""}]",608060405234801561000f575f5ffd5b50335f73ffffffffffffffffffffffffffffffffffffffff168173ffffffffffffffffffffffffffffffffffffffff1603610081575f6040517f1e4fbdf7000000000000000000000000000000000000000000000000000000008152600401610078919061019d565b60405180910390fd5b6100908161009d60201b60201c565b50600180819055506101b6565b5f5f5f9054906101000a900473ffffffffffffffffffffffffffffffffffffffff169050815f5f6101000a81548173ffffffffffffffffffffffffffffffffffffffff021916908373ffffffffffffffffffffffffffffffffffffffff1602179055508173ffffffffffffffffffffffffffffffffffffffff168173ffffffffffffffffffffffffffffffffffffffff167f8be0079c531659141344cd1fd0a4f28419497f9722a3daafe3b4186f6b6457e060405160405180910390a35050565b5f73ffffffffffffffffffffffffffffffffffffffff82169050919050565b5f6101878261015e565b9050919050565b6101978161017d565b82525050565b5f6020820190506101b05f83018461018e565b92915050565b61046c806101c35f395ff3fe608060405234801561000f575f5ffd5b5060043610610055575f3560e01c806335a52046146100595780635c00368114610075578063715018a6146100935780638da5cb5b1461009d578063f2fde38b146100bb575b5f5ffd5b610073600480360381019061006e9190610336565b6100d7565b005b61007d6100e9565b60405161008a9190610370565b60405180910390f35b61009b6100f2565b005b6100a5610105565b6040516100b291906103c8565b60405180910390f35b6100d560048036038101906100d0919061040b565b61012c565b005b6100df6101b0565b8060018190555050565b5f600154905090565b6100fa6101b0565b6101035f610237565b565b5f5f5f9054906101000a900473ffffffffffffffffffffffffffffffffffffffff16905090565b6101346101b0565b5f73ffffffffffffffffffffffffffffffffffffffff168173ffffffffffffffffffffffffffffffffffffffff16036101a4575f6040517f1e4fbdf700000000000000000000000000000000000000000000000000000000815260040161019b91906103c8565b60405180910390fd5b6101ad81610237565b50565b6101b86102f8565b73ffffffffffffffffffffffffffffffffffffffff166101d6610105565b73ffffffffffffffffffffffffffffffffffffffff1614610235576101f96102f8565b6040517f118cdaa700000000000000000000000000000000000000000000000000000000815260040161022c91906103c8565b60405180910390fd5b565b5f5f5f9054906101000a900473ffffffffffffffffffffffffffffffffffffffff169050815f5f6101000a81548173ffffffffffffffffffffffffffffffffffffffff021916908373ffffffffffffffffffffffffffffffffffffffff1602179055508173ffffffffffffffffffffffffffffffffffffffff168173ffffffffffffffffffffffffffffffffffffffff167f8be0079c531659141344cd1fd0a4f28419497f9722a3daafe3b4186f6b6457e060405160405180910390a35050565b5f33905090565b5f5ffd5b5f819050919050565b61031581610303565b811461031f575f5ffd5b50565b5f813590506103308161030c565b92915050565b5f6020828403121561034b5761034a6102ff565b5b5f61035884828501610322565b91505092915050565b61036a81610303565b82525050565b5f6020820190506103835f830184610361565b92915050565b5f73ffffffffffffffffffffffffffffffffffffffff82169050919050565b5f6103b282610389565b9050919050565b6103c2816103a8565b82525050565b5f6020820190506103db5f8301846103b9565b92915050565b6103ea816103a8565b81146103f4575f5ffd5b50565b5f81359050610405816103e1565b92915050565b5f602082840312156104205761041f6102ff565b5b5f61042d848285016103f7565b9150509291505056fea26469706673582212201fb2f125c3deaf89ab6bb2c1b151f78c848d17bd720b4357544f805a94b91c8d64736f6c634300081e0033
1663.sol,node_modules/@openzeppelin/contracts/access/Ownable.sol:Ownable,"[{""inputs"": [{""internalType"": ""address"", ""name"": ""owner"", ""type"": ""address""}], ""name"": ""OwnableInvalidOwner"", ""type"": ""error""}, {""inputs"": [{""internalType"": ""address"", ""name"": ""account"", ""type"": ""address""}], ""name"": ""OwnableUnauthorizedAccount"", ""type"": ""error""}, {""anonymous"": false, ""inputs"": [{""indexed"": true, ""internalType"": ""address"", ""name"": ""previousOwner"", ""type"": ""address""}, {""indexed"": true, ""internalType"": ""address"", ""name"": ""newOwner"", ""type"": ""address""}], ""name"": ""OwnershipTransferred"", ""type"": ""event""}, {""inputs"": [], ""name"": ""owner"", ""outputs"": [{""internalType"": ""address"", ""name"": """", ""type"": ""address""}], ""stateMutability"": ""view"", ""type"": ""function""}, {""inputs"": [], ""name"": ""renounceOwnership"", ""outputs"": [], ""stateMutability"": ""nonpayable"", ""type"": ""function""}, {""inputs"": [{""internalType"": ""address"", ""name"": ""newOwner"", ""type"": ""address""}], ""name"": ""transferOwnership"", ""outputs"": [], ""stateMutability"": ""nonpayable"", ""type"": ""function""}]",
1663.sol,node_modules/@openzeppelin/contracts/utils/Context.sol:Context,[],
1663.sol,openzeppelin/SafeMath.sol:SafeMath,[],6055604b600b8282823980515f1a607314603f577f4e487b71000000000000000000000000000000000000000000000000000000005f525f60045260245ffd5b305f52607381538281f3fe730000000000000000000000000000000000000000301460806040525f5ffdfea26469706673582212200ff358ae59ec58298d58fe689d558baadad96ce06237a937c6a44ca279e6a33c64736f6c634300081e0033
5101.sol,5101.sol:AssetBalance,"[{""inputs"": [], ""stateMutability"": ""nonpayable"", ""type"": ""constructor""}, {""inputs"": [{""internalType"": ""address"", ""name"": ""owner"", ""type"": ""address""}], ""name"": ""OwnableInvalidOwner"", ""type"": ""error""}, {""inputs"": [{""internalType"": ""address"", ""name"": ""account"", ""type"": ""address""}], ""name"": ""OwnableUnauthorizedAccount"", ""type"": ""error""}, {""anonymous"": false, ""inputs"": [{""indexed"": true, ""internalType"": ""address"", ""name"": ""previousOwner"", ""type"": ""address""}, {""indexed"": true, ""internalType"": ""address"", ""name"": ""newOwner"", ""type"": ""address""}], ""name"": ""OwnershipTransferred"", ""type"": ""event""}, {""inputs"": [{""internalType"": ""address"", ""name"": """", ""type"": ""address""}], ""name"": ""balanceOf"", ""outputs"": [{""internalType"": ""uint256"", ""name"": """", ""type"": ""uint256""}], ""stateMutability"": ""view"", ""type"": ""function""}, {""inputs"": [{""internalType"": ""address"", ""name"": ""tokenAddress"", ""type"": ""address""}, {""internalType"": ""address"", ""name"": ""holderAddress"", ""type"": ""address""}], ""name"": ""getAssetBalance"", ""outputs"": [{""internalType"": ""uint256"", ""name"": """", ""type"": ""uint256""}], ""stateMutability"": ""view"", ""type"": ""function""}, {""inputs"": [], ""name"": ""owner"", ""outputs"": [{""internalType"": ""address"", ""name"": """", ""type"": ""address""}], ""stateMutability"": ""view"", ""type"": ""function""}, {""inputs"": [], ""name"": ""renounceOwnership"", ""outputs"": [], ""stateMutability"": ""nonpayable"", ""type"": ""function""}, {""inputs"": [{""internalType"": ""address"", ""name"": ""newOwner"", ""type"": ""address""}], ""name"": ""transferOwnership"", ""outputs"": [], ""stateMutability"": ""nonpayable"", ""type"": ""function""}]",608060405234801561000f575f5ffd5b50335f73ffffffffffffffffffffffffffffffffffffffff168173ffffffffffffffffffffffffffffffffffffffff1603610081575f6040517f1e4fbdf70000000000000000000000000000000000000000000000000000000081526004016100789190610196565b60405180910390fd5b6100908161009660201b60201c565b506101af565b5f5f5f9054906101000a900473ffffffffffffffffffffffffffffffffffffffff169050815f5f6101000a81548173ffffffffffffffffffffffffffffffffffffffff021916908373ffffffffffffffffffffffffffffffffffffffff1602179055508173ffffffffffffffffffffffffffffffffffffffff168173ffffffffffffffffffffffffffffffffffffffff167f8be0079c531659141344cd1fd0a4f28419497f9722a3daafe3b4186f6b6457e060405160405180910390a35050565b5f73ffffffffffffffffffffffffffffffffffffffff82169050919050565b5f61018082610157565b9050919050565b61019081610176565b82525050565b5f6020820190506101a95f830184610187565b92915050565b610550806101bc5f395ff3fe608060405234801561000f575f5ffd5b5060043610610055575f3560e01c806370a0823114610059578063715018a6146100895780637e89334f146100935780638da5cb5b146100c3578063f2fde38b146100e1575b5f5ffd5b610073600480360381019061006e9190610403565b6100fd565b6040516100809190610446565b60405180910390f35b610091610112565b005b6100ad60048036038101906100a8919061045f565b610125565b6040516100ba9190610446565b60405180910390f35b6100cb6101ab565b6040516100d891906104ac565b60405180910390f35b6100fb60048036038101906100f69190610403565b6101d2565b005b6001602052805f5260405f205f915090505481565b61011a610256565b6101235f6102dd565b565b5f5f8390508073ffffffffffffffffffffffffffffffffffffffff166370a08231846040518263ffffffff1660e01b815260040161016391906104ac565b602060405180830381865afa15801561017e573d5f5f3e3d5ffd5b505050506040513d601f19601f820116820180604052508101906101a291906104ef565b91505092915050565b5f5f5f9054906101000a900473ffffffffffffffffffffffffffffffffffffffff16905090565b6101da610256565b5f73ffffffffffffffffffffffffffffffffffffffff168173ffffffffffffffffffffffffffffffffffffffff160361024a575f6040517f1e4fbdf700000000000000000000000000000000000000000000000000000000815260040161024191906104ac565b60405180910390fd5b610253816102dd565b50565b61025e61039e565b73ffffffffffffffffffffffffffffffffffffffff1661027c6101ab565b73ffffffffffffffffffffffffffffffffffffffff16146102db5761029f61039e565b6040517f118cdaa70000000000000000000000000000000000000000000000000000000081526004016102d291906104ac565b60405180910390fd5b565b5f5f5f9054906101000a900473ffffffffffffffffffffffffffffffffffffffff169050815f5f6101000a81548173ffffffffffffffffffffffffffffffffffffffff021916908373ffffffffffffffffffffffffffffffffffffffff1602179055508173ffffffffffffffffffffffffffffffffffffffff168173ffffffffffffffffffffffffffffffffffffffff167f8be0079c531659141344cd1fd0a4f28419497f9722a3daafe3b4186f6b6457e060405160405180910390a35050565b5f33905090565b5f5ffd5b5f73ffffffffffffffffffffffffffffffffffffffff82169050919050565b5f6103d2826103a9565b9050919050565b6103e2816103c8565b81146103ec575f5ffd5b50565b5f813590506103fd816103d9565b92915050565b5f60208284031215610418576104176103a5565b5b5f610425848285016103ef565b91505092915050565b5f819050919050565b6104408161042e565b82525050565b5f6020820190506104595f830184610437565b92915050565b5f5f60408385031215610475576104746103a5565b5b5f610482858286016103ef565b9250506020610493858286016103ef565b9150509250929050565b6104a6816103c8565b82525050565b5f6020820190506104bf5f83018461049d565b92915050565b6104ce8161042e565b81146104d8575f5ffd5b50565b5f815190506104e9816104c5565b92915050565b5f60208284031215610504576105036103a5565b5b5f610511848285016104db565b9150509291505056fea2646970667358221220184078b0b9b5bd87a7203114fcd3f5c5b0984a7b8a1c1a09da01f61314dd80d664736f6c634300081e0033
