filename,basename,toolid,toolmode,parser_version,runid,start,duration,exit_code,findings,infos,errors,fails
contracts_output/contracts_output/chatGPT_with_rag_contracts/1004.sol,1004.sol,oyente+-060ca34,solidity,2025/06/04,20260206_1451,1770389582.8751044,64.38703775405884,0,"{Integer_Overflow,Integer_Underflow}","{coverage LoanManager 69.2%,coverage SafeMath 98.4%}",{},{}
contracts_output/contracts_output/chatGPT_with_rag_contracts/1009.sol,1009.sol,oyente+-060ca34,solidity,2025/06/04,20260206_1451,1770390149.3312824,1.2414734363555908,1,{},{analysis incomplete},{Solidity compilation failed},{}
contracts_output/contracts_output/chatGPT_with_rag_contracts/1010.sol,1010.sol,oyente+-060ca34,solidity,2025/06/04,20260206_1451,1770389655.0836644,1.1778898239135742,1,{},{analysis incomplete},{Solidity compilation failed},{}
contracts_output/contracts_output/chatGPT_with_rag_contracts/1032.sol,1032.sol,oyente+-060ca34,solidity,2025/06/04,20260206_1451,1770390126.7592638,1.2202107906341553,1,{},{analysis incomplete},{Solidity compilation failed},{}
contracts_output/contracts_output/chatGPT_with_rag_contracts/1053.sol,1053.sol,oyente+-060ca34,solidity,2025/06/04,20260206_1451,1770390066.522734,44.46805715560913,0,{Integer_Underflow},"{coverage Game 84.6%,coverage SafeMath 98.4%}",{},{}
contracts_output/contracts_output/chatGPT_with_rag_contracts/107.sol,107.sol,oyente+-060ca34,solidity,2025/06/04,20260206_1451,1770389964.635046,43.273518562316895,0,{Integer_Underflow},"{coverage SafeMath 98.4%,coverage TokenRegistry 44.0%}",{},{}
contracts_output/contracts_output/chatGPT_with_rag_contracts/1091.sol,1091.sol,oyente+-060ca34,solidity,2025/06/04,20260206_1451,1770389959.353708,1.0653440952301025,1,{},{analysis incomplete},{Solidity compilation failed},{}
contracts_output/contracts_output/chatGPT_with_rag_contracts/1094.sol,1094.sol,oyente+-060ca34,solidity,2025/06/04,20260206_1451,1770390130.9140048,41.296602725982666,0,"{Integer_Overflow,Integer_Underflow}","{coverage NeumarkCalculator 71.1%,coverage SafeMath 98.4%}",{},{}
contracts_output/contracts_output/chatGPT_with_rag_contracts/110.sol,110.sol,oyente+-060ca34,solidity,2025/06/04,20260206_1451,1770390158.7405329,1.0880515575408936,1,{},{analysis incomplete},{Solidity compilation failed},{}
contracts_output/contracts_output/chatGPT_with_rag_contracts/1111.sol,1111.sol,oyente+-060ca34,solidity,2025/06/04,20260206_1451,1770389603.9980366,1.1914472579956055,1,{},{analysis incomplete},{Solidity compilation failed},{}
contracts_output/contracts_output/chatGPT_with_rag_contracts/1142.sol,1142.sol,oyente+-060ca34,solidity,2025/06/04,20260206_1451,1770390039.51941,46.61226272583008,0,"{Integer_Overflow,Integer_Underflow}","{coverage SafeMath 98.4%,coverage Token 86.8%}",{},{}
contracts_output/contracts_output/chatGPT_with_rag_contracts/1147.sol,1147.sol,oyente+-060ca34,solidity,2025/06/04,20260206_1451,1770389861.9150922,51.9549503326416,0,"{Integer_Overflow,Integer_Underflow}","{coverage Quiz 54.7%,coverage SafeMath 98.4%}",{},{}
contracts_output/contracts_output/chatGPT_with_rag_contracts/1148.sol,1148.sol,oyente+-060ca34,solidity,2025/06/04,20260206_1451,1770389611.1497576,41.044995069503784,0,{Integer_Underflow},"{coverage SafeMath 98.4%,coverage TransferCheck 74.4%}",{},{}
contracts_output/contracts_output/chatGPT_with_rag_contracts/1160.sol,1160.sol,oyente+-060ca34,solidity,2025/06/04,20260206_1451,1770390115.636226,1.633908987045288,1,{},{analysis incomplete},{Solidity compilation failed},{}
contracts_output/contracts_output/chatGPT_with_rag_contracts/1164.sol,1164.sol,oyente+-060ca34,solidity,2025/06/04,20260206_1451,1770389795.958091,63.708056926727295,0,{Integer_Underflow},"{coverage IdentityRecovery 63.0%,coverage SafeMath 98.4%}",{},{}
contracts_output/contracts_output/chatGPT_with_rag_contracts/1195.sol,1195.sol,oyente+-060ca34,solidity,2025/06/04,20260206_1451,1770389845.7134151,1.399864673614502,1,{},{analysis incomplete},{Solidity compilation failed},{}
contracts_output/contracts_output/chatGPT_with_rag_contracts/1213.sol,1213.sol,oyente+-060ca34,solidity,2025/06/04,20260206_1451,1770390113.9382122,1.2441532611846924,1,{},{analysis incomplete},{Solidity compilation failed},{}
contracts_output/contracts_output/chatGPT_with_rag_contracts/1228.sol,1228.sol,oyente+-060ca34,solidity,2025/06/04,20260206_1451,1770389865.6444378,1.2302453517913818,1,{},{analysis incomplete},{Solidity compilation failed},{}
contracts_output/contracts_output/chatGPT_with_rag_contracts/124.sol,124.sol,oyente+-060ca34,solidity,2025/06/04,20260206_1451,1770389707.936577,43.970027446746826,0,"{Integer_Overflow,Integer_Underflow}","{coverage SafeMath 98.4%,coverage Token 84.7%}",{},{}
contracts_output/contracts_output/chatGPT_with_rag_contracts/1244.sol,1244.sol,oyente+-060ca34,solidity,2025/06/04,20260206_1451,1770390033.3528016,0.9133298397064209,1,{},{analysis incomplete},{Solidity compilation failed},{}
contracts_output/contracts_output/chatGPT_with_rag_contracts/1247.sol,1247.sol,oyente+-060ca34,solidity,2025/06/04,20260206_1451,1770389592.027161,1.1119422912597656,1,{},{analysis incomplete},{Solidity compilation failed},{}
contracts_output/contracts_output/chatGPT_with_rag_contracts/1259.sol,1259.sol,oyente+-060ca34,solidity,2025/06/04,20260206_1451,1770389831.8064444,1.3998308181762695,1,{},{analysis incomplete},{Solidity compilation failed},{}
contracts_output/contracts_output/chatGPT_with_rag_contracts/1262.sol,1262.sol,oyente+-060ca34,solidity,2025/06/04,20260206_1451,1770389597.1017487,1.2495472431182861,1,{},{analysis incomplete},{Solidity compilation failed},{}
contracts_output/contracts_output/chatGPT_with_rag_contracts/1265.sol,1265.sol,oyente+-060ca34,solidity,2025/06/04,20260206_1451,1770389520.095849,43.4095573425293,0,{Integer_Underflow},"{coverage CapChecker 85.0%,coverage SafeMath 98.4%}",{},{}
contracts_output/contracts_output/chatGPT_with_rag_contracts/1268.sol,1268.sol,oyente+-060ca34,solidity,2025/06/04,20260206_1451,1770389754.3248742,69.37615370750427,0,"{Integer_Overflow,Integer_Underflow}","{coverage Pledge 66.6%,coverage SafeMath 98.4%}",{},{}
contracts_output/contracts_output/chatGPT_with_rag_contracts/1281.sol,1281.sol,oyente+-060ca34,solidity,2025/06/04,20260206_1451,1770389896.0726748,64.50573825836182,0,{Integer_Underflow},"{coverage AttestationContract 44.9%,coverage SafeMath 98.4%}",{},{}
contracts_output/contracts_output/chatGPT_with_rag_contracts/1283.sol,1283.sol,oyente+-060ca34,solidity,2025/06/04,20260206_1451,1770389864.4582498,1.188058614730835,1,{},{analysis incomplete},{Solidity compilation failed},{}
contracts_output/contracts_output/chatGPT_with_rag_contracts/1286.sol,1286.sol,oyente+-060ca34,solidity,2025/06/04,20260206_1451,1770389792.0575538,1.2969560623168945,1,{},{analysis incomplete},{Solidity compilation failed},{}
contracts_output/contracts_output/chatGPT_with_rag_contracts/1315.sol,1315.sol,oyente+-060ca34,solidity,2025/06/04,20260206_1451,1770389810.0117621,1.2046234607696533,1,{},{analysis incomplete},{Solidity compilation failed},{}
contracts_output/contracts_output/chatGPT_with_rag_contracts/1319.sol,1319.sol,oyente+-060ca34,solidity,2025/06/04,20260206_1451,1770389855.0599613,1.1155116558074951,1,{},{analysis incomplete},{Solidity compilation failed},{}
contracts_output/contracts_output/chatGPT_with_rag_contracts/1334.sol,1334.sol,oyente+-060ca34,solidity,2025/06/04,20260206_1451,1770390110.2233303,1.467280626296997,1,{},{analysis incomplete},{Solidity compilation failed},{}
contracts_output/contracts_output/chatGPT_with_rag_contracts/1335.sol,1335.sol,oyente+-060ca34,solidity,2025/06/04,20260206_1451,1770390122.7058048,1.353564739227295,1,{},{analysis incomplete},{Solidity compilation failed},{}
contracts_output/contracts_output/chatGPT_with_rag_contracts/1356.sol,1356.sol,oyente+-060ca34,solidity,2025/06/04,20260206_1451,1770390024.6899612,67.9586968421936,0,{Integer_Underflow},"{coverage KeyValueStore 84.5%,coverage SafeMath 98.4%}",{},{}
contracts_output/contracts_output/chatGPT_with_rag_contracts/1358.sol,1358.sol,oyente+-060ca34,solidity,2025/06/04,20260206_1451,1770390082.2039855,45.077691316604614,0,{Integer_Underflow},"{coverage SafeMath 98.4%,coverage TickerRegistry 74.4%}",{},{}
contracts_output/contracts_output/chatGPT_with_rag_contracts/1383.sol,1383.sol,oyente+-060ca34,solidity,2025/06/04,20260206_1451,1770389609.995444,44.266271352767944,0,"{Integer_Overflow,Integer_Underflow}","{coverage AssetTransfer 66.8%,coverage SafeMath 98.4%}",{},{}
contracts_output/contracts_output/chatGPT_with_rag_contracts/1386.sol,1386.sol,oyente+-060ca34,solidity,2025/06/04,20260206_1451,1770390044.1229632,68.52551937103271,0,{Integer_Underflow},"{coverage DepositQueue 83.4%,coverage SafeMath 98.4%}",{},{}
contracts_output/contracts_output/chatGPT_with_rag_contracts/1398.sol,1398.sol,oyente+-060ca34,solidity,2025/06/04,20260206_1451,1770389667.5514913,45.32394576072693,1,"{Callstack_Depth_Attack_Vulnerability,Integer_Overflow,Integer_Underflow}","{coverage SafeMath 98.4%,coverage TransferContract 52.7%}",{},{}
contracts_output/contracts_output/chatGPT_with_rag_contracts/1413.sol,1413.sol,oyente+-060ca34,solidity,2025/06/04,20260206_1451,1770389939.7420793,41.62176179885864,0,{Integer_Underflow},"{coverage Leaderboard 44.0%,coverage SafeMath 98.4%}",{},{}
contracts_output/contracts_output/chatGPT_with_rag_contracts/1424.sol,1424.sol,oyente+-060ca34,solidity,2025/06/04,20260206_1451,1770389882.8123884,1.0104010105133057,1,{},{analysis incomplete},{Solidity compilation failed},{}
