filename,basename,toolid,toolmode,parser_version,runid,start,duration,exit_code,findings,infos,errors,fails
contracts_output/contracts_output/gemini_with_rag_contracts/1004.sol,1004.sol,oyente+-060ca34,solidity,2025/06/04,20260206_1558,1770394038.5625021,0.5513262748718262,1,{},{analysis incomplete},{Solidity compilation failed},{}
contracts_output/contracts_output/gemini_with_rag_contracts/1009.sol,1009.sol,oyente+-060ca34,solidity,2025/06/04,20260206_1558,1770393799.7955523,2.1630635261535645,1,{},{analysis incomplete},{Solidity compilation failed},{}
contracts_output/contracts_output/gemini_with_rag_contracts/1010.sol,1010.sol,oyente+-060ca34,solidity,2025/06/04,20260206_1558,1770393682.6419299,15.969401359558105,0,{Integer_Underflow},"{coverage CoordinatorContract 46.0%,coverage SafeMath 98.4%}",{},{}
contracts_output/contracts_output/gemini_with_rag_contracts/1032.sol,1032.sol,oyente+-060ca34,solidity,2025/06/04,20260206_1558,1770393764.5131636,16.155914545059204,0,{Integer_Underflow},"{coverage SafeMath 98.4%,coverage Vesting 65.8%}",{},{}
contracts_output/contracts_output/gemini_with_rag_contracts/1053.sol,1053.sol,oyente+-060ca34,solidity,2025/06/04,20260206_1558,1770393821.7277832,15.80038857460022,0,{Integer_Underflow},"{coverage GameBoard 84.5%,coverage SafeMath 98.4%}",{},{}
contracts_output/contracts_output/gemini_with_rag_contracts/107.sol,107.sol,oyente+-060ca34,solidity,2025/06/04,20260206_1558,1770393573.306267,0.5244064331054688,1,{},{analysis incomplete},{Solidity compilation failed},{}
contracts_output/contracts_output/gemini_with_rag_contracts/1091.sol,1091.sol,oyente+-060ca34,solidity,2025/06/04,20260206_1558,1770393784.2010355,15.593720197677612,0,{Integer_Underflow},"{coverage MyContract 65.3%,coverage SafeMath 98.4%}",{},{}
contracts_output/contracts_output/gemini_with_rag_contracts/1094.sol,1094.sol,oyente+-060ca34,solidity,2025/06/04,20260206_1558,1770393714.0887249,0.5740704536437988,1,{},{analysis incomplete},{Solidity compilation failed},{}
contracts_output/contracts_output/gemini_with_rag_contracts/110.sol,110.sol,oyente+-060ca34,solidity,2025/06/04,20260206_1558,1770393643.8715656,0.5511510372161865,1,{},{analysis incomplete},{Solidity compilation failed},{}
contracts_output/contracts_output/gemini_with_rag_contracts/1111.sol,1111.sol,oyente+-060ca34,solidity,2025/06/04,20260206_1558,1770394257.3996367,0.5618047714233398,1,{},{analysis incomplete},{Solidity compilation failed},{}
contracts_output/contracts_output/gemini_with_rag_contracts/1142.sol,1142.sol,oyente+-060ca34,solidity,2025/06/04,20260206_1558,1770393960.287727,16.842307806015015,0,"{Integer_Overflow,Integer_Underflow}","{coverage SafeMath 98.4%,coverage Token 88.1%}",{},{}
contracts_output/contracts_output/gemini_with_rag_contracts/1147.sol,1147.sol,oyente+-060ca34,solidity,2025/06/04,20260206_1558,1770394263.264639,16.499688625335693,0,"{Integer_Overflow,Integer_Underflow}","{coverage QuestionContract 79.7%,coverage SafeMath 98.4%}",{},{}
contracts_output/contracts_output/gemini_with_rag_contracts/1148.sol,1148.sol,oyente+-060ca34,solidity,2025/06/04,20260206_1558,1770393712.1369078,0.5361084938049316,1,{},{analysis incomplete},{Solidity compilation failed},{}
contracts_output/contracts_output/gemini_with_rag_contracts/1160.sol,1160.sol,oyente+-060ca34,solidity,2025/06/04,20260206_1558,1770394230.5171945,0.5288465023040771,1,{},{analysis incomplete},{Solidity compilation failed},{}
contracts_output/contracts_output/gemini_with_rag_contracts/1164.sol,1164.sol,oyente+-060ca34,solidity,2025/06/04,20260206_1558,1770394043.1231787,0.5590379238128662,1,{},{analysis incomplete},{Solidity compilation failed},{}
contracts_output/contracts_output/gemini_with_rag_contracts/1195.sol,1195.sol,oyente+-060ca34,solidity,2025/06/04,20260206_1558,1770393799.5498397,2.048661947250366,1,{},{analysis incomplete},{Solidity compilation failed},{}
contracts_output/contracts_output/gemini_with_rag_contracts/1213.sol,1213.sol,oyente+-060ca34,solidity,2025/06/04,20260206_1558,1770393547.5353742,0.5878570079803467,1,{},{analysis incomplete},{Solidity compilation failed},{}
contracts_output/contracts_output/gemini_with_rag_contracts/1228.sol,1228.sol,oyente+-060ca34,solidity,2025/06/04,20260206_1558,1770394277.5893373,0.5340113639831543,1,{},{analysis incomplete},{Solidity compilation failed},{}
contracts_output/contracts_output/gemini_with_rag_contracts/124.sol,124.sol,oyente+-060ca34,solidity,2025/06/04,20260206_1558,1770394262.5253425,6.917738437652588,0,"{Integer_Overflow,Integer_Underflow}","{coverage MyContract 85.7%,coverage SafeMath 98.4%}",{},{}
contracts_output/contracts_output/gemini_with_rag_contracts/1244.sol,1244.sol,oyente+-060ca34,solidity,2025/06/04,20260206_1558,1770394049.5466871,24.282748222351074,0,"{Integer_Overflow,Integer_Underflow}","{coverage GreyContract 81.5%,coverage SafeMath 98.4%}",{},{}
contracts_output/contracts_output/gemini_with_rag_contracts/1247.sol,1247.sol,oyente+-060ca34,solidity,2025/06/04,20260206_1558,1770394222.594059,0.5467410087585449,1,{},{analysis incomplete},{Solidity compilation failed},{}
contracts_output/contracts_output/gemini_with_rag_contracts/1259.sol,1259.sol,oyente+-060ca34,solidity,2025/06/04,20260206_1558,1770394258.4900122,0.5554685592651367,1,{},{analysis incomplete},{Solidity compilation failed},{}
contracts_output/contracts_output/gemini_with_rag_contracts/1262.sol,1262.sol,oyente+-060ca34,solidity,2025/06/04,20260206_1558,1770393567.5864449,0.5339529514312744,1,{},{analysis incomplete},{Solidity compilation failed},{}
contracts_output/contracts_output/gemini_with_rag_contracts/1265.sol,1265.sol,oyente+-060ca34,solidity,2025/06/04,20260206_1558,1770393589.6416278,16.690085411071777,0,"{Integer_Overflow,Integer_Underflow}","{coverage MyContract 84.6%,coverage SafeMath 98.4%}",{},{}
contracts_output/contracts_output/gemini_with_rag_contracts/1268.sol,1268.sol,oyente+-060ca34,solidity,2025/06/04,20260206_1558,1770393735.6546745,15.96152114868164,0,"{Integer_Overflow,Integer_Underflow}","{coverage PledgeContract 62.5%,coverage SafeMath 98.4%}",{},{}
contracts_output/contracts_output/gemini_with_rag_contracts/1281.sol,1281.sol,oyente+-060ca34,solidity,2025/06/04,20260206_1558,1770393877.5428026,0.5167057514190674,1,{},{analysis incomplete},{Solidity compilation failed},{}
contracts_output/contracts_output/gemini_with_rag_contracts/1283.sol,1283.sol,oyente+-060ca34,solidity,2025/06/04,20260206_1558,1770393822.7938476,0.5226328372955322,1,{},{analysis incomplete},{Solidity compilation failed},{}
contracts_output/contracts_output/gemini_with_rag_contracts/1286.sol,1286.sol,oyente+-060ca34,solidity,2025/06/04,20260206_1558,1770394122.9454613,0.5095922946929932,1,{},{analysis incomplete},{Solidity compilation failed},{}
contracts_output/contracts_output/gemini_with_rag_contracts/1315.sol,1315.sol,oyente+-060ca34,solidity,2025/06/04,20260206_1558,1770393529.0135324,17.07886552810669,0,"{Integer_Overflow,Integer_Underflow}","{coverage SafeMath 98.4%,coverage Token 72.1%}",{},{}
contracts_output/contracts_output/gemini_with_rag_contracts/1319.sol,1319.sol,oyente+-060ca34,solidity,2025/06/04,20260206_1558,1770393829.8662374,0.5284566879272461,1,{},{analysis incomplete},{Solidity compilation failed},{}
contracts_output/contracts_output/gemini_with_rag_contracts/1334.sol,1334.sol,oyente+-060ca34,solidity,2025/06/04,20260206_1558,1770393660.8798811,17.734506845474243,0,"{Integer_Overflow,Integer_Underflow}","{coverage MyContract 42.3%,coverage SafeMath 98.4%}",{},{}
contracts_output/contracts_output/gemini_with_rag_contracts/1335.sol,1335.sol,oyente+-060ca34,solidity,2025/06/04,20260206_1558,1770394253.979084,0.6159675121307373,1,{},{analysis incomplete},{Solidity compilation failed},{}
