filename,basename,toolid,toolmode,parser_version,runid,start,duration,exit_code,findings,infos,errors,fails
contracts_output/contracts_output/sample_of_interest_contracts/1004.sol,1004.sol,oyente+-060ca34,solidity,2025/06/04,20260213_1811,1771006296.9258933,1.1769895553588867,1,{},{analysis incomplete},{Solidity compilation failed},{}
contracts_output/contracts_output/sample_of_interest_contracts/1009.sol,1009.sol,oyente+-060ca34,solidity,2025/06/04,20260213_1811,1771006719.994689,1.6671533584594727,1,{},{analysis incomplete},{Solidity compilation failed},{}
contracts_output/contracts_output/sample_of_interest_contracts/1010.sol,1010.sol,oyente+-060ca34,solidity,2025/06/04,20260213_1811,1771006564.1158974,1.269968032836914,1,{},{analysis incomplete},{Solidity compilation failed},{}
contracts_output/contracts_output/sample_of_interest_contracts/1032.sol,1032.sol,oyente+-060ca34,solidity,2025/06/04,20260213_1811,1771006790.355688,1.7932581901550293,1,{},{analysis incomplete},{Solidity compilation failed},{}
contracts_output/contracts_output/sample_of_interest_contracts/1053.sol,1053.sol,oyente+-060ca34,solidity,2025/06/04,20260213_1811,1771006601.1592667,1.2714810371398926,1,{},{analysis incomplete},{Solidity compilation failed},{}
contracts_output/contracts_output/sample_of_interest_contracts/107.sol,107.sol,oyente+-060ca34,solidity,2025/06/04,20260213_1811,1771006790.5140684,58.05424952507019,0,{Integer_Underflow},"{coverage SafeMath 98.4%,coverage TokenRegistry 72.1%}",{},{}
contracts_output/contracts_output/sample_of_interest_contracts/1091.sol,1091.sol,oyente+-060ca34,solidity,2025/06/04,20260213_1811,1771006737.3894193,78.65266275405884,1,"{Callstack_Depth_Attack_Vulnerability,Integer_Overflow,Integer_Underflow}","{coverage MyContract 55.8%,coverage SafeMath 98.4%}",{},{}
contracts_output/contracts_output/sample_of_interest_contracts/1094.sol,1094.sol,oyente+-060ca34,solidity,2025/06/04,20260213_1811,1771006651.872736,1.4767694473266602,1,{},{analysis incomplete},{Solidity compilation failed},{}
contracts_output/contracts_output/sample_of_interest_contracts/110.sol,110.sol,oyente+-060ca34,solidity,2025/06/04,20260213_1811,1771006730.3489313,0.9060454368591309,1,{},{analysis incomplete},{Solidity compilation failed},{}
contracts_output/contracts_output/sample_of_interest_contracts/1111.sol,1111.sol,oyente+-060ca34,solidity,2025/06/04,20260213_1811,1771006372.3961968,1.2411949634552002,1,{},{analysis incomplete},{Solidity compilation failed},{}
contracts_output/contracts_output/sample_of_interest_contracts/1142.sol,1142.sol,oyente+-060ca34,solidity,2025/06/04,20260213_1811,1771006440.3068473,1.3918883800506592,1,{},{analysis incomplete},{Solidity compilation failed},{}
contracts_output/contracts_output/sample_of_interest_contracts/1147.sol,1147.sol,oyente+-060ca34,solidity,2025/06/04,20260213_1811,1771006343.3270528,2.006136655807495,1,{},{analysis incomplete},{Solidity compilation failed},{}
contracts_output/contracts_output/sample_of_interest_contracts/1148.sol,1148.sol,oyente+-060ca34,solidity,2025/06/04,20260213_1811,1771006566.4146452,78.82217574119568,0,"{Integer_Overflow,Integer_Underflow}","{coverage SafeMath 98.4%,coverage TransferCheckWrapper 74.8%}",{},{}
contracts_output/contracts_output/sample_of_interest_contracts/1160.sol,1160.sol,oyente+-060ca34,solidity,2025/06/04,20260213_1811,1771006277.9338114,92.50124311447144,0,{Integer_Underflow},"{coverage PriceSetter 82.4%,coverage SafeMath 98.4%}",{},{}
